game,platform,games_sold,year,critic_score,user_score,combined_score
Battle Garegga Rev.2016,PS4,0.01,2016,,,
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,0.01,2018,,,
TOCA Championship Racing,PS,0.6,1998,8.0,,
BattleTanx,N64,0.33,1998,8.0,,
Uprising X,PS,0.07,1998,,,
Army Men 3D,PS,1.28,1999,7.0,,
Army Men: Air Attack,PS,0.85,1999,,,
Army Men: Sarge's Heroes,N64,0.81,1999,3.5,,
Army Men: Sarge's Heroes,N64,0.81,1999,4.2,,
BattleTanx: Global Assault,N64,0.39,1999,8.2,,
Sammy Sosa High Heat Baseball 2001,PS,0.58,2000,5.5,,
Army Men: Sarge's Heroes,PS,0.56,2000,3.5,,
Army Men: Sarge's Heroes,PS,0.56,2000,4.2,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,4.5,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,4.5,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,6.0,,
"Army Men World War: Land, Sea, Air",PS,0.3,2000,,,
Army Men: Air Attack 2,PS,0.3,2000,8.2,,
Crusaders of Might and Magic,PS,0.25,2000,6.0,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,4.5,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,4.5,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,6.0,,
Army Men: Air Combat,N64,0.24,2000,7.6,,
World Destruction League: Thunder Tanks,PS2,0.17,2000,3.5,,
World Destruction League: Thunder Tanks,PS2,0.17,2000,8.0,,
World Destruction League: Thunder Tanks,PS,0.17,2000,3.5,,
World Destruction League: Thunder Tanks,PS,0.17,2000,8.0,,
Army Men World War: Final Front,PS,0.44,2001,,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,4.5,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,4.5,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,6.0,,
Warriors of Might and Magic,PS2,0.17,2001,5.0,,
Warriors of Might and Magic,PS2,0.17,2001,5.0,,
Jonny Moseley Mad Trix,PS2,0.14,2001,3.0,,
Army Men: Green Rogue,PS2,0.13,2001,,,
Army Men: Green Rogue,PS2,0.13,2001,4.3,,
Portal Runner,PS2,0.13,2001,6.7,,
Warriors of Might and Magic,PS,0.13,2001,5.0,,
Warriors of Might and Magic,PS,0.13,2001,5.0,,
Aqua Aqua,PS2,0.11,2001,7.7,,
Army Men World War: Team Assault,PS,0.1,2001,,,
Army Men: Green Rogue,PS,0.07,2001,,,
Army Men: Green Rogue,PS,0.07,2001,4.3,,
Dragon Rage,PS2,0.06,2001,6.2,,
High Heat Baseball 2002,PS,0.04,2001,,,
WarJetz,PS2,0.04,2001,,,
High Heat Major League Baseball 2003,PS2,0.37,2002,8.8,,
Army Men: RTS,PS2,0.11,2002,6.1,,
Army Men: RTS,PS2,0.11,2002,6.9,,
Godai: Elemental Force,PS2,0.07,2002,,,
Shifters,PS2,0.05,2002,4.0,,
High Heat Major League Baseball 2004,PS2,0.36,2003,8.1,,
High Heat Major League Baseball 2004,PS2,0.36,2003,8.2,,
High Heat Major League Baseball 2004,XB,0.08,2003,8.1,,
High Heat Major League Baseball 2004,XB,0.08,2003,8.2,,
Army Men: Air Combat - The Elite Missions,GC,0.01,2003,3.8,,
Memories Off 6: T-Wave,PS2,0.04,2008,,,
Memories Off 6: T-Wave,PS2,0.04,2008,,,
Prism Ark: Awake,PS2,0.02,2008,,,
Night Wizard the Video Game: Denial of the World,PS2,0.02,2008,,,
Memories Off,PSP,0.01,2008,,,
Kanokon: Esuii,PS2,0.01,2008,,,
Memories Off 2nd,PSP,0.01,2008,,,
Memories Off: Sorekara,PSP,0.01,2008,,,
Memories Off: Omoide ni Kawaru-Kun,PSP,0.01,2008,,,
Monochrome Fighter: Cross Road,PS2,0.01,2008,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,8.3,8.7,8.5
Steins;Gate,X360,0.06,2009,8.7,8.8,8.75
Chaos;Head Noah,X360,0.04,2009,,,
Chaos;Head Noah,X360,0.04,2009,,,
DoDonPachi Dai-Oujou: Black Label Extra,X360,0.02,2009,,,
11eyes: CrossOver,X360,0.02,2009,,,
11eyes: CrossOver,X360,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off #5: Togireta Film,PSP,0.01,2009,,,
Lucian Bee's: Resurrection Supernova,PS2,0.01,2009,,,
Memories Off 6: T-Wave,PSP,0.01,2009,,,
Memories Off 6: T-Wave,PSP,0.01,2009,,,
Tayutama: Kiss on my Deity,X360,0.01,2009,,,
Memories Off: AfterRain,PSP,0.01,2009,,,
Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,PSP,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Skip Beat!,PS2,0.01,2009,,,
Lucian Bee's: Justice Yellow / Evil Violet,PS2,0.07,2010,,,
Chaos;Head - Love Chu*Chu!,X360,0.03,2010,,,
Chaos;Head - Love Chu*Chu!,X360,0.03,2010,,,
Chaos;Head Noah,PSP,0.02,2010,,,
Chaos;Head Noah,PSP,0.02,2010,,,
Pastel Chime Continue,PSP,0.02,2010,,,
11eyes: CrossOver,PSP,0.02,2010,,,
11eyes: CrossOver,PSP,0.02,2010,,,
Ketsui: Kizuna Jigoku Tachi Extra,X360,0.02,2010,,,
Memories Off: Yubikiri no Kioku,X360,0.02,2010,,,
W.L.O. Sekai Renai Kikousen,X360,0.02,2010,,,
"Sharin no Kuni, Himawari no Shoujo",X360,0.02,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Corpse Party: Book of Shadows,PSP,0.04,2011,5.8,,
Chaos;Head - Love Chu*Chu!,PSP,0.04,2011,,,
Chaos;Head - Love Chu*Chu!,PSP,0.04,2011,,,
Dunamis 15,PS3,0.02,2011,,,
Dunamis 15,PS3,0.02,2011,,,
Memories Off: Yubikiri no Kikou,PSP,0.02,2011,,,
Dunamis 15,X360,0.02,2011,,,
Dunamis 15,X360,0.02,2011,,,
Robotics;Notes,PS3,0.11,2012,,,
Robotics;Notes,PS3,0.11,2012,,,
Robotics;Notes,PS3,0.11,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Anohana: The Flower We Saw That Day,PSP,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Akatsuki no Goei Trinity,PSP,0.01,2012,,,
Akatsuki no Goei Trinity,PSP,0.01,2012,,,
Muv-Luv Alternative,PS3,0.01,2012,,,
Akatsuki no Goei Trinity,PS3,0.01,2012,,,
Akatsuki no Goei Trinity,PS3,0.01,2012,,,
Muv-Luv,PS3,0.01,2012,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,0.06,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,0.06,2013,,,
Muv-Luv Alternative: Total Eclipse,PS3,0.03,2013,,,
Muv-Luv Alternative: Total Eclipse,PS3,0.03,2013,,,
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,0.02,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,X360,0.02,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,X360,0.02,2013,,,
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,0.01,2013,,,
Disorder 6,PS3,0.01,2013,,,
Eiyuu * Senki,PS3,0.01,2013,,,
Eiyuu * Senki,PS3,0.01,2013,,,
Phantom Breaker,PS3,0.01,2013,,,
Phantom Breaker,PS3,0.01,2013,,,
Hanasaku Manimani,PSP,0.01,2013,,,
Hanasaku Manimani,PSP,0.01,2013,,,
Muv-Luv Alternative: Total Eclipse,X360,0.01,2013,,,
Muv-Luv Alternative: Total Eclipse,X360,0.01,2013,,,
Infinite Stratos 2: Ignition Hearts,PSV,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PSV,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PS3,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PS3,0.03,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Chaos;Head Dual,PSV,0.01,2014,,,
Hanasaku Manimani,PSV,0.01,2014,,,
Hanasaku Manimani,PSV,0.01,2014,,,
Muv-luv Photonmelodies,PS3,0.01,2014,,,
Muv-luv Photonflowers,PS3,0.01,2014,,,
Eiyuu * Senki,PSV,0.01,2014,,,
Eiyuu * Senki,PSV,0.01,2014,,,
Oretachi ni Tsubasa wa Nai,PSV,0.01,2014,,,
Bullet Soul Infinite Burst,X360,0.01,2014,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,8.3,8.7,8.5
Steins;Gate,PSV,0.1,2015,8.7,8.8,8.75
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,8.3,8.7,8.5
Steins;Gate,PS3,0.06,2015,8.7,8.8,8.75
Corpse Party: Blood Covered - Repeated Fear,3DS,0.05,2015,,,
Steins;Gate 0,PS3,0.03,2015,,,
Steins;Gate 0,PS3,0.03,2015,8.4,8.5,8.45
Steins;Gate 0,PS3,0.03,2015,8.1,7.9,8.0
Lovely x Cation 1 & 2,PSV,0.02,2015,,,
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,,,
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,6.4,7.3,6.85
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,7.2,6.7,6.95
Kadenz fermata//Akkord:fortissimo,PSV,0.02,2015,,,
